folioviv,combustible2,estufa3,electricidad,refri,radio_tv,telefono4
101188203,0,0,0,0,0,0
101188204,0,0,0,0,0,0
101188205,0,0,0,0,0,0
101188206,0,0,0,0,0,0
101193301,0,0,0,0,0,0
101193302,0,0,0,0,0,0
101193303,0,0,0,0,0,0
101193304,0,0,0,0,0,0
101193305,0,0,0,0,0,0
101193306,0,0,0,0,0,0
101199801,0,0,0,0,0,0
101199803,0,0,0,0,0,0
101209401,0,0,0,0,0,0
101209403,0,0,0,0,0,0
101209404,0,0,0,0,0,0
101217701,0,0,0,0,0,0
101217704,0,0,0,0,0,0
101217706,0,0,0,0,0,0
101234901,0,0,0,0,0,0
101234903,0,0,0,0,0,0
101234904,0,0,0,0,0,0
101234905,0,0,0,0,0,0
101241501,0,0,0,1,0,0
101241502,0,0,0,1,0,0
101241503,0,0,0,0,0,0
101241504,0,0,0,0,0,0
101241505,0,0,0,0,0,0
101241506,0,0,0,0,0,0
101267601,0,0,0,0,0,0
101267602,0,0,0,0,0,0
101267603,0,0,0,0,0,0
101267604,0,0,0,0,0,0
101267605,0,0,0,0,0,0
101267606,0,0,0,0,0,0
101276001,0,0,0,0,0,0
101276002,0,0,0,0,0,0
101276004,0,0,0,0,0,0
101276005,0,0,0,0,0,0
101276006,0,0,0,0,0,0
101283201,0,0,0,0,0,0
101283202,0,0,0,0,0,0
101283203,0,0,0,0,0,0
101283204,0,0,0,0,0,0
101283205,0,0,0,0,0,0
101283206,0,0,0,0,0,0
101284301,0,0,0,1,0,0
101284302,0,0,0,0,0,0
101284303,0,0,0,0,0,0
101284304,0,0,0,0,0,0
101284305,0,0,0,0,0,0
101284306,0,0,0,0,0,0
101286801,0,0,0,0,0,0
101286802,0,0,0,0,0,0
101286803,0,0,0,0,0,0
101286804,0,0,0,0,0,0
101286805,0,0,0,0,0,0
101286806,0,0,0,1,0,0
101289401,0,0,0,0,0,0
101289402,0,0,0,0,0,0
101289403,0,0,0,0,0,0
101289404,0,0,0,0,0,0
101289405,0,0,0,0,0,0
101289406,0,0,0,0,0,0
101293701,0,0,0,0,0,0
101293702,0,0,0,0,0,0
101293703,0,0,0,0,0,0
101293704,0,0,0,0,0,0
101293705,0,0,0,1,1,0
101296901,0,0,0,0,0,0
101296902,0,0,0,0,0,0
101296903,0,0,0,0,0,1
101296904,0,0,0,1,0,0
101296905,0,0,0,0,0,0
101298502,0,0,0,0,0,0
101298503,0,0,0,0,0,0
101298504,0,0,0,0,0,0
101298505,0,0,0,1,1,0
101298506,0,0,0,0,0,0
101304601,0,0,0,0,0,0
101304602,0,0,0,0,0,0
101304604,0,0,0,0,0,0
101304606,0,0,0,0,0,0
101310001,0,0,0,0,0,0
101310005,0,0,0,0,0,0
101312201,0,0,0,0,0,0
101312203,0,0,0,0,0,0
101312204,0,0,0,0,0,0
101312205,0,0,0,0,0,0
101315301,0,0,0,0,0,0
101315303,0,0,0,0,0,0
101315304,0,0,0,0,0,0
101315305,0,0,0,0,0,0
101315306,0,0,0,0,0,0
101318802,0,0,0,0,0,0
101318806,0,0,0,0,0,0
101327401,0,0,0,0,0,0
101327402,0,0,0,0,0,0
101327403,0,0,0,0,0,0
101327404,0,0,0,0,0,0
101327405,0,0,0,0,0,0
101327406,0,0,0,0,0,0
101337701,0,0,0,0,0,0
101337702,0,0,0,0,0,0
101337703,0,0,0,0,0,0
101337704,0,0,0,0,0,0
101337705,0,0,0,1,0,0
101337706,0,0,0,0,0,0
101352901,0,0,0,0,0,0
101352902,0,0,0,0,0,0
101352903,0,0,0,0,0,0
101352904,0,0,0,0,0,0
101352905,0,0,0,0,0,0
101352906,0,0,0,0,0,0
101355501,0,0,0,0,0,0
101355502,0,0,0,0,0,0
101355503,0,0,0,0,0,0
101355505,0,0,0,0,0,0
101372601,0,0,0,0,0,0
101372602,0,0,0,0,0,0
101372603,0,0,0,0,0,0
101372604,0,0,0,0,0,0
101372605,0,0,0,0,0,0
101372606,0,0,0,1,0,0
101383001,0,0,0,0,0,0
101383002,0,0,0,0,0,0
101383003,0,0,0,0,0,0
